,prepost,synapse_id,synapse_x,synapse_y,synapse_z,synapse_size,segment_id
0,presyn,483766883,1488728,621944,1110480,4384,864691135510518224
1,presyn,478550136,1485480,626880,1111240,2068,864691135510518224
2,presyn,480939462,1481320,565104,1111800,11064,864691135510518224
3,presyn,479220146,1482788,601920,1054840,8636,864691135510518224
4,presyn,468794187,1454888,618200,1093960,3516,864691135510518224
5,presyn,476011367,1470832,608320,1075360,13224,864691135510518224
6,presyn,481606274,1482832,643008,1112080,6400,864691135510518224
7,presyn,488882555,1512096,575736,1040160,3004,864691135510518224
8,presyn,493424091,1527584,518936,1108160,2240,864691135510518224
9,presyn,478550465,1486832,623032,1111720,3468,864691135510518224
10,presyn,478550457,1486980,623436,1111920,5480,864691135510518224
11,presyn,488395887,1518200,598544,1106320,1756,864691135510518224
12,presyn,478550779,1487984,622656,1111000,192,864691135510518224
13,presyn,466546956,1448008,638896,1094800,4968,864691135510518224
14,presyn,498933036,1564416,577920,1066400,15816,864691135510518224
15,presyn,486009536,1503488,605712,1096960,4900,864691135510518224
16,presyn,490057853,1504896,605088,1095480,1964,864691135510518224
17,presyn,469700270,1444728,624896,1098720,2140,864691135510518224
18,presyn,481443126,1481272,582272,1083680,5088,864691135510518224
19,presyn,469699724,1440728,626512,1099360,3076,864691135510518224
20,presyn,466481524,1449936,655136,1108960,4240,864691135510518224
21,presyn,466142935,1446408,612480,1098800,7908,864691135510518224
22,presyn,469345183,1450048,625200,1094800,19912,864691135510518224
23,presyn,466546101,1444432,643816,1091360,6580,864691135510518224
24,presyn,469700579,1447280,625216,1097280,2148,864691135510518224
25,presyn,488882735,1512952,569604,1035840,1320,864691135510518224
26,presyn,488882443,1511488,585776,1035120,5000,864691135510518224
27,presyn,488882773,1513112,571520,1036880,4484,864691135510518224
28,presyn,488882803,1513216,569728,1035600,7544,864691135510518224
29,presyn,491392351,1524952,560864,1045760,8640,864691135510518224
30,presyn,476009824,1461744,610976,1082560,15128,864691135510518224
31,presyn,493915101,1522240,558024,1113600,1084,864691135510518224
32,presyn,488230664,1520776,561960,1028360,18324,864691135510518224
33,presyn,478560052,1475800,605048,1060480,8540,864691135510518224
34,presyn,469724537,1450648,636056,1099080,2888,864691135510518224
35,presyn,466482334,1451624,657184,1110360,2752,864691135510518224
36,presyn,462511817,1437320,627276,1098360,1924,864691135510518224
37,presyn,488899341,1510976,576976,1105000,896,864691135510518224
38,presyn,490219977,1513160,601312,1101760,3600,864691135510518224
39,presyn,486011890,1497972,608548,1091360,10376,864691135510518224
40,presyn,488395832,1517944,598208,1106720,6020,864691135510518224
41,presyn,492383580,1521232,561592,1028000,2264,864691135510518224
42,presyn,478560128,1476120,604992,1061400,884,864691135510518224
43,presyn,465962323,1453400,623976,1106240,4304,864691135510518224
44,presyn,486176218,1502856,586732,1042720,15624,864691135510518224
45,presyn,469701556,1453368,619736,1096480,10956,864691135510518224
46,presyn,472895032,1458592,617896,1106440,4524,864691135510518224
47,presyn,475451670,1456188,616416,1088960,5680,864691135510518224
48,presyn,486007750,1495680,608472,1098960,2648,864691135510518224
49,presyn,481607093,1486072,649264,1113040,6296,864691135510518224
50,presyn,466144915,1454096,617896,1099680,8440,864691135510518224
51,presyn,486175826,1498968,593168,1042360,9384,864691135510518224
52,presyn,490059469,1510524,604340,1099720,7216,864691135510518224
53,presyn,469701940,1455128,624968,1100000,11484,864691135510518224
54,presyn,472894484,1456080,618168,1107640,6228,864691135510518224
55,presyn,481004674,1487760,612336,1082400,7408,864691135510518224
56,presyn,498933071,1564416,578224,1066600,2380,864691135510518224
57,presyn,471554684,1455912,621788,1100880,9432,864691135510518224
58,presyn,475476664,1457104,616480,1100960,1172,864691135510518224
59,presyn,472837231,1471760,630336,1065560,3588,864691135510518224
60,presyn,469724639,1451192,648392,1103760,7764,864691135510518224
61,presyn,469724541,1450736,650496,1103600,23840,864691135510518224
62,postsyn,488967764,1510064,611752,1072520,5588,864691135510518224
63,postsyn,478550766,1488092,622380,1108720,6644,864691135510518224
64,postsyn,493806807,1532888,605936,1081040,5904,864691135510518224
65,postsyn,492120792,1532984,624768,1068320,6332,864691135510518224
66,postsyn,498412995,1560488,577688,1061200,4648,864691135510518224
67,postsyn,494565947,1540720,602080,1079600,1500,864691135510518224
68,postsyn,473336893,1465992,643228,1097920,2148,864691135510518224
69,postsyn,488933653,1518080,570976,1108520,9988,864691135510518224
70,postsyn,477550189,1474424,605200,1109200,3724,864691135510518224
71,postsyn,487803812,1512824,534488,1107320,480,864691135510518224
72,postsyn,492120846,1533208,628864,1070200,4664,864691135510518224
73,postsyn,492120874,1533376,628504,1069160,6252,864691135510518224
74,postsyn,485974764,1491384,637020,1073600,3084,864691135510518224
75,postsyn,483710610,1492560,602408,1080840,1448,864691135510518224
76,postsyn,498412955,1560176,579208,1061960,932,864691135510518224
77,postsyn,498413021,1560640,579832,1062480,4536,864691135510518224
78,postsyn,471557152,1470200,628216,1102200,752,864691135510518224
79,postsyn,494838931,1551136,595888,1070440,16900,864691135510518224
80,postsyn,469701820,1454576,625696,1100000,24956,864691135510518224
81,postsyn,493424957,1532272,519080,1108880,6048,864691135510518224
82,postsyn,477550313,1474920,614540,1108680,5620,864691135510518224
83,postsyn,478881248,1487008,587528,1096120,316,864691135510518224
84,postsyn,487457156,1510880,555976,1104040,1024,864691135510518224
85,postsyn,494969948,1540864,506528,1109280,21620,864691135510518224
86,postsyn,477550559,1475984,615032,1108120,3044,864691135510518224
87,postsyn,477550625,1476392,614584,1110920,1668,864691135510518224
88,postsyn,487456165,1506496,564024,1104920,7344,864691135510518224
89,postsyn,466621268,1453808,642368,1080240,5752,864691135510518224
90,postsyn,469701888,1454832,623680,1101840,2608,864691135510518224
