,segment_id,split_index,nucleus_id,cell_type,syn_density_post,syn_density_head,syn_density_neck,syn_density_shaft,skeletal_length_processed_syn,spine_density,skeletal_length_processed_spine,allen_e_i,allen_e_i_n_nuc,allen_cell_type,allen_cell_type_n_nuc,allen_cell_type_e_i,cell_type_manual
0,864691134884749050,0,617733,inhibitory,0.8949256995256177,0.0788435684936757,0.005631683463833979,0.750037843137889,1953234.7779559577,0.1344761778664267,1717776.365041019,inhibitory,1,MC,1,inhibitory,inhibitory
1,864691134940132963,0,337551,inhibitory,0.9296195906331184,0.0758023142899765,0.006663939717800132,0.7821799243767904,2400982.1033137804,0.14060612605746087,2090947.302536821,inhibitory,1,MC,1,inhibitory,inhibitory
2,864691134988479610,1,195378,inhibitory,0.7932265351302797,0.05024964475938424,0.004785680453274689,0.7214413283311595,835826.8043707195,0.10748042331470153,548937.1755379919,inhibitory,2,BPC,2,inhibitory,inhibitory
3,864691135012396790,2,435998,excitatory,0.5184492307121213,0.027604617941410784,0.000862644310669087,0.48998196846004144,1159226.3319100507,0.08154868605506149,944221.2220073021,excitatory,3,6IT,3,excitatory,inhibitory
4,864691135012409078,0,527554,inhibitory,0.7996960780930228,0.06104550214450555,0.006104550214450555,0.6933024886411702,2293371.2572073718,0.10756708453869392,2073124.8871933746,inhibitory,1,MC,1,inhibitory,inhibitory
5,864691135012430838,0,590152,inhibitory,0.6983400888179137,0.06112101336022708,0.010403576742166312,0.5988558862209483,1537932.6164963108,0.10630093665016856,1204128.6185581041,inhibitory,1,5P_IT,1,excitatory,inhibitory
6,864691135012487414,0,530273,inhibitory,0.618998282539298,0.07092186089889073,0.004824616387679641,0.5239533397020091,2072703.6507060856,0.08907047694007544,1987190.4370634672,inhibitory,1,BPC,1,inhibitory,inhibitory
7,864691135012525302,0,334716,inhibitory,0.8071208636642908,0.04801568877322977,0.005144538082846047,0.7299527924216,1749428.2003683888,0.07728306505432875,1565672.8924369002,inhibitory,1,MC,1,inhibitory,inhibitory
8,864691135134766873,0,488520,inhibitory,1.957243831488507,0.2367397964418652,0.05066036796286827,1.248485798931071,2052886.7866934412,0.4226120223039265,1963976.30970161,inhibitory,1,MC,1,inhibitory,inhibitory
9,864691135194641962,0,104412,inhibitory,2.019294257710607,0.13536072258617082,0.02027141256121399,1.3993813832579982,1529247.1556379546,0.5060060796780353,1432789.1089002476,inhibitory,1,MC,1,inhibitory,inhibitory
10,864691135210061760,0,612510,inhibitory,1.174897669432266,0.07214283935110406,0.005889211375600331,0.9187169745936516,679208.0882972638,0.3515895433426397,477829.91041993676,inhibitory,1,BC,1,inhibitory,inhibitory
11,864691135303299239,0,461660,excitatory,0.5504676311331265,0.042928117541782815,0.006078317528040044,0.48626540224320347,2632307.3656797274,0.07091514787489563,2453636.5672812336,excitatory,1,,,,inhibitory
12,864691135334518249,0,551054,excitatory,1.262403788011864,0.12583815638352214,0.013215879437538856,0.9659084058479486,1740330.6460764145,0.3026528786322843,1344774.9178506734,excitatory,1,NGC,1,inhibitory,inhibitory
13,864691135345189535,0,107035,inhibitory,1.4506749268254269,0.12308756954882409,0.008791969253487436,1.0638282796719798,796181.1282749163,0.3065040405134921,714509.340996305,inhibitory,1,BPC,1,inhibitory,inhibitory
14,864691135360168775,0,500528,inhibitory,0.5178938904095067,0.07759973602227137,0.004217376957732139,0.4031812371591925,1185571.0433550407,0.1128845270839814,1009881.5395239131,inhibitory,1,BPC,1,inhibitory,inhibitory
15,864691135407276745,0,492730,inhibitory,2.033333604744204,0.4073400102219349,0.053863141847528585,1.1406642435002667,1782294.8440651498,0.5341516253258631,1628751.0114178725,inhibitory,1,MC,1,inhibitory,inhibitory
